frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
18,1.0,[2173.60498046875 1202.1368408203125 2804.96484375 1790.8282470703125],0.8828156590461731,[238.19236755371094 418.7348937988281 424.0380554199219 473.0899963378906],0.6128817200660706,ML51NSU,0.24583960340465108
22,1.0,[2179.945556640625 1208.5020751953125 2815.4853515625 1801.926025390625],0.9011713266372681,[234.9514617919922 421.9934997558594 420.0462951660156 476.9493713378906],0.6403031945228577,NL51VSU,0.13416247234658965
24,1.0,[2178.720703125 1209.999267578125 2832.77978515625 1809.9765625],0.8997830152511597,[239.4935302734375 430.1524963378906 426.06146240234375 486.91253662109375],0.6222092509269714,MI51VSU,0.4276296987769663
25,1.0,[2178.52734375 1209.3636474609375 2831.630859375 1810.9520263671875],0.9005815982818604,[239.22828674316406 430.5803527832031 425.6304931640625 486.8744812011719],0.6281232237815857,MI51VSU,0.09463522257706777
25,6.0,[1188.00146484375 1041.3563232421875 1749.65869140625 1458.1407470703125],0.8301581144332886,[216.269287109375 283.07086181640625 355.92669677734375 326.2727966308594],0.26037099957466125,LM15OGJ,0.17025246978854888
26,6.0,[1187.5712890625 1041.44482421875 1748.495849609375 1459.300048828125],0.8421998620033264,[218.89703369140625 285.0057067871094 356.59002685546875 328.5442810058594],0.3476777672767639,LM15OGJ,0.22270831910350153
27,1.0,[2177.8935546875 1213.9110107421875 2834.966064453125 1816.7890625],0.9032815098762512,[240.3985137939453 433.1167297363281 427.8207702636719 489.3414001464844],0.6129060387611389,MV51VSU,0.13233389485858815
27,6.0,[1187.062744140625 1042.004150390625 1748.6839599609375 1462.1666259765625],0.8514536023139954,[224.98916625976562 287.0770263671875 352.5596008300781 328.6651611328125],0.30774015188217163,CX15QLJ,0.11404597854842477
28,6.0,[1185.433349609375 1045.7264404296875 1748.828125 1463.0963134765625],0.8554149866104126,[225.8608856201172 286.3499450683594 352.81427001953125 327.30487060546875],0.310540109872818,CX15QLJ,0.08856361948846872
30,3.0,[689.3939208984375 1465.3250732421875 1408.8419189453125 2115.725830078125],0.914819061756134,[222.56576538085938 440.9674072265625 487.4376220703125 502.69708251953125],0.40180423855781555,NA13NRU,0.634564745925638
31,1.0,[2176.384033203125 1221.6202392578125 2832.42041015625 1829.1240234375],0.8962525129318237,[245.00294494628906 435.5525817871094 431.73175048828125 492.49969482421875],0.5989201664924622,NT51WSU,0.17184068927910812
31,3.0,[688.2374267578125 1466.5396728515625 1408.373046875 2115.338134765625],0.9145564436912537,[219.80731201171875 439.1609191894531 488.7304382324219 503.31207275390625],0.355162113904953,NA13NRU,0.4145434883875529
32,1.0,[2176.970458984375 1224.766845703125 2827.5771484375 1832.951904296875],0.894342303276062,[247.274169921875 439.2537536621094 433.0914001464844 492.58197021484375],0.5979286432266235,MI51MSU,0.05386181684173254
35,1.0,[2174.967041015625 1231.061279296875 2830.271484375 1841.884521484375],0.9081828594207764,[246.79153442382812 441.6703796386719 434.98223876953125 493.4505310058594],0.6185922026634216,HD51VSU,0.11632120889276444
35,3.0,[675.3089599609375 1483.3355712890625 1401.4273681640625 2128.055908203125],0.9047226309776306,[233.269287109375 435.59295654296875 497.7113952636719 511.7256164550781],0.43385791778564453,NA13NRU,0.2476327153107376
36,3.0,[673.6254272460938 1488.9854736328125 1398.9989013671875 2130.682373046875],0.90023273229599,[224.46311950683594 436.4979553222656 498.70849609375 509.0762023925781],0.41920289397239685,NA13NRU,0.39777539103743953
38,3.0,[671.9180297851562 1494.452392578125 1394.518798828125 2129.515380859375],0.9044221639633179,[222.4029541015625 436.1123352050781 496.378173828125 505.0082702636719],0.42551276087760925,NA13NRU,0.5289716028637608
39,3.0,[669.2699584960938 1497.39697265625 1393.6025390625 2133.3046875],0.9026104807853699,[223.34371948242188 436.9817810058594 501.05987548828125 505.8632507324219],0.31952163577079773,NA13NRU,0.5889576814098839
40,1.0,[2177.020751953125 1244.8856201171875 2853.739990234375 1861.5538330078125],0.9127447605133057,[247.42071533203125 440.7463684082031 438.1913146972656 499.26678466796875],0.6306867003440857,ND15ISU,0.012765751004799743
41,1.0,[2178.327880859375 1248.45947265625 2849.1220703125 1866.35791015625],0.9038951396942139,[248.9474639892578 443.9819641113281 438.68084716796875 500.9535217285156],0.6227907538414001,MN51VSU,0.12432994118007068
43,1.0,[2176.9296875 1247.4583740234375 2835.037353515625 1873.628173828125],0.9034919142723083,[251.64707946777344 452.2776184082031 440.8661193847656 504.4981689453125],0.6092724204063416,MO51VSU,0.09889992351228115
44,3.0,[656.28564453125 1512.9879150390625 1394.923095703125 2147.60205078125],0.9026705622673035,[229.85325622558594 441.15753173828125 509.3488464355469 510.45904541015625],0.25432488322257996,NA13MRU,0.5859222903730499
45,1.0,[2177.776123046875 1252.98193359375 2861.249755859375 1879.9920654296875],0.9132698178291321,[251.01486206054688 447.7044372558594 442.50030517578125 506.7427673339844],0.6592585444450378,NU51VSV,0.32586858925029305
45,3.0,[653.6415405273438 1515.498291015625 1395.9412841796875 2148.142333984375],0.9125686287879944,[243.9274444580078 452.5713195800781 507.5696105957031 515.3460083007812],0.32586580514907837,NA13MRU,0.4025739496094314
45,6.0,[1177.9891357421875 1072.5025634765625 1737.3438720703125 1505.414306640625],0.8707423210144043,[214.6055450439453 291.4861755371094 345.4683837890625 334.1398010253906],0.36589735746383667,GX15OCJ,0.11953991640751961
46,1.0,[2178.689697265625 1256.2474365234375 2859.546630859375 1883.375244140625],0.9093176126480103,[250.50314331054688 447.8538513183594 442.8386535644531 506.5360107421875],0.656718373298645,MJ51VSU,0.27789235654639094
46,3.0,[650.3953857421875 1517.9403076171875 1393.06591796875 2147.9091796875],0.9090760350227356,[247.43984985351562 449.78192138671875 509.3018798828125 526.4810180664062],0.37198784947395325,NA13MRU,0.2926191096198682
47,3.0,[646.6223754882812 1521.119140625 1394.4935302734375 2147.674560546875],0.9067276120185852,[233.0643768310547 452.372314453125 515.0679931640625 526.8026733398438],0.4408351480960846,NA13NRU,0.3491416534483296
48,1.0,[2181.0732421875 1266.1353759765625 2859.47265625 1891.27294921875],0.9090321660041809,[249.1632843017578 445.8794860839844 441.2012023925781 504.1977233886719],0.6833851337432861,CI75ISU,0.10408426407692525
